"post_id","cluster","x","y","z"
"2355","14","24.460651400","-29.691999440","-20.829790120"
"2357","65","23.940900800","-30.233001710","-20.990592960"
"2359","74","13.483366010","18.711072920","36.905368800"
"2361","2","23.534481050","40.645233150","3.245864391"
"2363","4","10.943600650","-6.676887035","11.346127510"
"2365","23","38.283393860","-12.647529600","-6.052465439"
"2367","14","-28.495424270","22.997442250","36.063095090"
"2369","18","-21.378978730","-8.066280365","-49.367473600"
"2371","37","-21.585779190","-29.809890750","10.131782530"
"2373","59","-29.840133670","-34.985774990","-5.500353336"
"2375","71","12.835968020","-32.126945500","-22.374288560"
"2377","55","8.631968498","-4.239488602","2.558647156"
"2379","13","-36.271698000","-15.001456260","-7.248971939"
"2381","45","-38.511875150","18.541610720","-18.691761020"
"2383","22","-29.461336140","16.936464310","-23.607814790"
"2385","88","-35.240337370","-15.318602560","-5.751632690"
"2387","89","-11.811168670","3.493082523","-20.079162600"
"2389","7","11.856618880","-17.037757870","-9.958955765"
"2391","88","-7.754747868","41.815879820","2.916256189"
"2393","10","4.152725220","-23.613372800","29.350173950"
"2395","10","4.124058247","-23.621955870","30.114788060"
"2397","10","1.368501782","5.485141277","23.429826740"
"2399","10","1.094701648","6.199810982","23.668773650"
"2401","14","-11.732383730","-23.085449220","-6.458870888"
"2403","78","11.972283360","41.097930910","15.874531750"
"2405","12","19.714445110","26.416587830","-31.225641250"
"2407","21","16.561660770","22.662878040","-32.254314420"
"2409","46","-8.371643066","3.079782248","-38.277988430"
"2410","40","-36.154796600","-1.149022818","22.412813190"
"2412","40","8.833162308","-34.734878540","-26.349929810"
"2414","44","18.153982160","38.327198030","-12.795958520"
"2416","47","18.141096120","36.898426060","-13.597887040"
"2418","12","11.152081490","22.461280820","5.094388962"
"2420","3","-30.233263020","2.801043034","1.891324401"
"2422","44","10.939636230","36.986392970","-3.018628359"
"2424","19","12.120285990","-27.157112120","-23.272079470"
"2426","22","-32.817195890","12.621692660","-14.142732620"
"2428","47","13.451550480","23.686717990","-20.339651110"
"2430","27","2.451039791","25.021877290","-21.746431350"
"2432","22","-6.991676331","14.887310980","-22.568532940"
"2434","47","11.078847890","25.579927440","-20.961235050"
"2436","2","30.086555480","40.039680480","-6.649128914"
"2438","89","-1.488093376","-2.063183308","-23.849483490"
"2440","4","30.486206050","40.092407230","-10.304758070"
"2442","13","30.905626300","41.122348790","-11.233059880"
"2444","2","29.083251950","40.098514560","-9.069264412"
"2446","4","39.145950320","11.396110530","6.784218788"
"2448","16","6.994088173","1.513744473","-38.622184750"
"2450","2","-1.571904182","-1.518801212","-24.416181560"
"2452","10","-55.044357300","1.150477529","7.184519291"
"2454","45","-22.080614090","21.736278530","-16.085186000"
"2456","84","2.352213621","28.398574830","-4.135862827"
"2458","84","3.126594543","28.101682660","-4.075418949"
"2460","22","-27.199863430","21.723880770","-11.466611860"
"2462","22","-27.904111860","22.854187010","-10.366034510"
"2464","22","23.119462970","23.330711360","-29.487283710"
"2466","75","5.873968124","25.308853150","-48.706680300"
"2468","48","10.671588900","-32.644252780","14.129759790"
"2470","55","-48.314102170","-3.389561653","-10.138659480"
"2472","43","-30.890167240","12.278715130","-21.561426160"
"2474","10","2.598108768","-22.842090610","29.798233030"
"2476","16","-30.058673860","-19.743755340","14.968478200"
"2478","88","-22.034667970","40.625503540","-28.455814360"
"2480","64","-34.535305020","28.925201420","-12.254781720"
"2482","25","-21.663070680","41.199909210","-28.280601500"
"2484","23","21.420722960","30.555847170","31.033838270"
"2486","40","21.491310120","31.250120160","31.331310270"
"2488","33","8.334391594","-7.776005745","-19.264596940"
"2490","27","3.408790350","24.459489820","-23.778760910"
"2492","47","15.927775380","25.147546770","-22.620712280"
"2494","22","-24.427892680","19.902038570","-12.128993030"
"2496","47","17.569049840","35.170661930","-12.640914920"
"2498","85","19.271652220","-11.748070720","-21.268644330"
"2500","24","-30.246330260","-4.557844162","-34.490463260"
"2502","41","-5.093146324","-4.758901119","47.182651520"
"2504","43","-24.294065480","8.045191765","-17.566743850"
"2506","42","12.167430880","46.854290010","-6.663845062"
"2508","22","-36.853530880","17.998184200","-20.278289790"
"2510","10","17.037988660","29.086513520","6.826014996"
"2512","80","17.250431060","29.071067810","7.740162373"
"2514","32","-3.438336372","-24.924766540","21.589420320"
"2516","43","-32.214046480","10.439089780","-23.909288410"
"2518","22","-34.059276580","16.512039180","-20.865648270"
"2520","1","-0.247528762","-0.110570937","8.046829224"
"2522","18","-21.243539810","-8.266299248","-48.625846860"
"2524","68","-38.879104610","-5.229753494","18.419166560"
"2526","18","-20.654684070","-9.220903397","-47.188583370"
"2528","34","-13.824010850","-11.313252450","-6.258548260"
"2530","69","-2.630220175","14.062299730","-29.202480320"
"2532","3","-23.310935970","26.954980850","23.542663570"
"2534","69","9.100255013","-39.861927030","4.070669174"
"2536","51","-22.509231570","13.371985440","-9.207498550"
"2538","43","-22.453723910","12.278379440","-10.807814600"
"2540","85","-30.901971820","-6.274492741","-28.174951550"
"2542","70","-10.651606560","33.823974610","7.557862759"
"3139","83","-3.120294571","-27.323560710","-12.515101430"
"2544","38","-19.078424450","23.498966220","-23.286384580"
"2546","64","-22.420101170","25.279096600","-21.331617360"
"2548","38","-19.417301180","23.577301030","-22.518735890"
"2550","10","-7.911078930","-11.450999260","-50.049907680"
"2552","69","-2.370829821","13.964447980","6.522691250"
"2554","41","-1.713393092","-4.802980423","51.007076260"
"2556","9","-8.671619415","-37.616790770","-20.147342680"
"2558","43","-29.894477840","13.520699500","-27.572765350"
"2560","49","-18.656332020","-23.566495900","28.962091450"
"2562","58","-40.785160060","2.273369551","15.758345600"
"2564","27","-40.232341770","2.640278816","16.333450320"
"2566","88","-10.179845810","37.583522800","-2.263249159"
"2568","24","-25.657388690","-30.655164720","26.971361160"
"2570","58","-41.690063480","2.039668798","14.662416460"
"2572","10","-12.172809600","-12.543827060","-12.394349100"
"2574","10","-14.762531280","48.031188960","16.053588870"
"2576","71","-10.722529410","-25.028850560","-41.011344910"
"2578","71","-10.875928880","-34.473598480","-25.041906360"
"2580","33","-6.205328941","-15.045188900","-10.683492660"
"2582","17","25.810842510","19.879547120","20.443502430"
"2584","15","-45.899261470","-6.133930206","-1.011910319"
"2586","85","26.046302800","19.554517750","22.543697360"
"2588","23","25.450359340","20.128427510","22.354600910"
"2590","85","27.612602230","18.791427610","22.440940860"
"2592","74","2.318752050","31.628959660","23.830986020"
"2594","47","15.776612280","26.260759350","-15.542280200"
"2596","1","-21.709835050","27.412269590","-17.540185930"
"2598","49","-1.525861979","-12.348730090","0.695076525"
"2600","71","-10.182527540","-24.584043500","-41.329330440"
"2602","71","-11.254938130","-33.600685120","-24.118844990"
"2604","43","-32.602745060","8.843174934","-23.982044220"
"2606","38","-16.963682170","21.388624190","-24.062479020"
"2608","79","11.361873630","-15.277612690","0.242032379"
"2610","71","-8.311635017","-37.835437770","-20.921649930"
"2612","9","-23.914892200","-7.816632271","3.592433214"
"2614","53","-27.150527950","-12.019512180","16.469953540"
"2616","22","-22.889358520","24.474737170","-24.929674150"
"2618","9","-6.935574055","-5.616415501","10.000698090"
"2620","43","-31.487472530","11.285604480","-25.452581410"
"2622","71","-13.381430630","18.466709140","-18.593503950"
"2624","85","19.231670380","-12.425230030","-21.928403850"
"2626","21","14.544820790","45.633457180","-8.449730873"
"2628","7","15.613348960","46.292388920","-9.054627419"
"2630","9","-22.685466770","-8.048993111","2.552915812"
"2632","22","-28.660324100","19.418272020","-12.265970230"
"2634","26","28.785055160","13.638971330","-21.282228470"
"2636","22","-22.967386250","27.952808380","-16.890336990"
"2638","69","-1.663459420","14.396698950","6.216508865"
"2640","7","3.430096149","-27.203439710","-17.210058210"
"2642","49","-16.783046720","-16.317659380","34.227359770"
"2644","64","-33.595966340","26.191633220","-2.862056017"
"2646","35","15.628060340","-52.678112030","1.269269347"
"2648","77","14.392143250","-52.717094420","0.097115986"
"2650","25","14.869192120","-52.499237060","-0.476435512"
"2652","3","-23.326314930","21.658784870","22.663320540"
"2654","64","-21.331956860","42.370922090","9.771327019"
"2656","51","-28.491662980","16.725877760","-1.365843058"
"2658","40","17.140131000","33.684162140","28.062585830"
"2660","40","15.949316020","32.120025630","27.709114070"
"2662","59","6.916159630","-7.613469124","-47.209747310"
"2664","88","-11.212353710","30.337574010","3.763427973"
"2666","83","-15.857419010","16.150884630","9.586309433"
"2668","22","-33.183647160","27.272392270","-16.924869540"
"2670","64","-33.520469670","27.372201920","-14.327743530"
"2672","44","17.984111790","-10.262642860","13.004630090"
"2674","2","25.808401110","19.960704800","18.752258300"
"2676","6","34.487407680","19.015525820","27.789752960"
"2678","14","33.651195530","19.035415650","29.172819140"
"2680","23","34.454654690","17.628206250","28.827625270"
"2682","20","34.015125270","20.430871960","28.673477170"
"2684","18","46.652400970","5.024833679","-28.437110900"
"2686","40","-11.770472530","-13.176501270","-33.724227910"
"2688","59","42.138118740","0.768918812","2.134304047"
"2690","23","-5.647185326","41.103904720","18.037471770"
"2692","55","11.557145120","-1.548393011","-0.503903985"
"2694","55","-48.219024660","-4.496759415","-5.727198601"
"2696","54","-9.801798820","-28.233615880","8.715057373"
"2698","88","-50.505718230","0.914424062","-6.267817020"
"2700","74","36.359916690","-4.182210445","-3.936163425"
"2702","4","30.755125050","14.119403840","39.771450040"
"2704","55","-44.490707400","-0.278138548","-12.851120000"
"2706","64","-32.924377440","22.880113600","-3.907162905"
"2708","55","-45.057441710","-0.163326889","-14.583834650"
"2710","55","-46.372360230","-1.411674380","-11.807525630"
"2712","31","-16.914413450","-9.830127716","7.337105274"
"2714","88","-15.185114860","-3.402095079","4.294509888"
"2716","40","18.172351840","-26.095766070","-12.633679390"
"2718","26","1.997216702","22.265356060","-32.706340790"
"2720","61","19.238815310","16.128412250","5.594781876"
"2722","55","-45.276359560","-5.208869934","-11.411681180"
"2724","5","18.110212330","-23.769514080","-15.319354060"
"2726","45","-31.458137510","32.555892940","-18.094430920"
"2728","55","-37.806240080","-3.206762075","-12.995374680"
"2730","55","-38.639606480","-3.464238882","-15.449624060"
"2732","1","-7.560918808","-3.670912743","23.235370640"
"2734","55","-47.024959560","-7.553075314","-10.393795010"
"2736","59","-47.464740750","-8.434826851","-10.298627850"
"2738","88","-48.198028560","0.354806006","-7.226834297"
"3141","4","38.008277890","-25.547677990","5.747639179"
"3143","41","37.181644440","-25.183090210","6.013875008"
"2740","74","24.097604750","4.801948071","29.701519010"
"2742","74","22.478963850","6.018237114","31.296655650"
"2744","6","-1.919584274","46.454109190","10.788421630"
"2746","60","24.012420650","8.222328186","33.819309230"
"2748","14","24.255189900","6.987623215","30.103950500"
"2750","23","35.937587740","16.204616550","29.399072650"
"2752","0","18.643424990","11.457908630","4.343658924"
"2754","60","-5.430603027","17.408515930","21.782157900"
"2756","60","9.242657661","1.537258148","34.457496640"
"2758","60","27.182641980","2.972130775","14.155833240"
"2760","60","4.158957005","34.460838320","4.689522266"
"2762","64","-31.328798290","24.754140850","-2.250898838"
"2764","79","41.898063660","8.691006660","-25.730800630"
"2766","4","26.056901930","-28.732948300","11.811132430"
"2768","75","-23.285219190","-16.937707900","33.747726440"
"2770","2","29.467149730","7.247797966","18.706125260"
"2772","60","19.339323040","-1.139366150","46.970722200"
"2774","26","12.034266470","16.187299730","-2.418706417"
"2776","81","-7.663529396","-21.827203750","-3.117828369"
"2778","26","26.298374180","14.760158540","-29.081964490"
"2780","26","25.579893110","13.966192250","-29.580547330"
"2782","59","11.876068120","-9.764712334","-9.356287003"
"2784","69","18.075443270","-2.364279032","-33.575210570"
"2786","69","17.960618970","-3.261088371","-33.909626010"
"2788","69","-6.153154373","-32.463283540","26.035303120"
"2790","5","-8.377418518","-23.304189680","-2.926130533"
"2792","74","-18.075763700","-13.479915620","41.476474760"
"2794","74","-18.757656100","-13.546544080","43.651706700"
"2796","85","-8.360543251","-5.875884056","39.012817380"
"2798","52","-1.231381774","-9.378086090","26.049034120"
"2800","36","42.971038820","11.202923770","8.573393822"
"2802","26","30.569087980","25.371620180","-26.721029280"
"2804","7","31.219018940","25.623546600","-26.951381680"
"2806","37","-24.519536970","-9.305825233","21.771791460"
"2808","85","-30.459833150","-8.889048576","-3.383348227"
"2810","85","-31.703645710","-9.287476540","-2.967391968"
"2812","14","8.798205376","26.551765440","7.093070507"
"2814","14","28.835144040","-6.783196926","29.368110660"
"2816","65","14.962213520","15.589280130","42.025588990"
"2818","14","47.457763670","19.904451370","-8.788019180"
"2820","16","4.060540676","-15.330414770","-40.211158750"
"2822","65","-3.924015760","-20.121521000","-36.388175960"
"2824","60","20.568006520","-23.971565250","28.043996810"
"2826","28","20.838685990","-23.307146070","28.163295750"
"2828","85","-35.588817600","-26.472070690","8.216408730"
"2830","48","-13.433115010","-37.696601870","10.997694020"
"2832","73","28.813833240","7.654780865","-24.407897950"
"2834","49","-13.162080760","-1.994425416","23.295724870"
"2836","85","-36.697540280","-26.071674350","8.484749794"
"2838","13","1.253944516","3.699705839","9.744877815"
"2840","48","13.109250070","-22.371774670","-2.585132837"
"2842","48","8.196559906","-6.939455032","19.443470000"
"2844","65","-40.685321810","16.578813550","-16.461711880"
"2846","65","26.167133330","15.076608660","-27.685642240"
"2848","73","-48.839897160","16.140207290","0.208819419"
"2850","65","43.826110840","0.425295830","-16.092800140"
"2852","75","-34.355506900","33.427375790","-14.455507280"
"2854","79","47.144039150","3.268669605","-20.468330380"
"2856","66","17.772691730","-4.226801872","-5.762486935"
"2858","37","16.255752560","-1.801245928","-2.620498419"
"2860","88","40.588150020","-25.107793810","-12.468735690"
"2862","8","33.053718570","-18.285373690","-24.343933110"
"2864","39","-10.418045040","-23.358856200","-32.218513490"
"2866","41","-8.208694458","0.030426510","49.821369170"
"2868","13","-2.502446651","-5.587382793","20.895179750"
"2870","85","-10.209375380","-6.683205128","40.216007230"
"2872","26","5.884518623","-0.771332026","-22.206066130"
"2874","21","15.993780140","39.580566410","-2.713594913"
"2876","41","22.908567430","2.310790300","15.575704570"
"2878","41","23.138635640","1.922459722","16.579072950"
"2880","14","26.589849470","5.553535938","26.605800630"
"2882","23","-5.256440163","36.109107970","17.287532810"
"2884","60","7.333111763","-32.618621830","27.109478000"
"2886","10","4.485800266","-24.686769490","27.301708220"
"2888","59","-29.758470540","-42.126823430","0.298915893"
"2890","36","49.313636780","-7.519985676","9.864665985"
"2892","75","0.913182676","1.850396514","21.487525940"
"2894","55","-49.099517820","-3.551160336","-10.085345270"
"2896","74","31.040973660","-12.065776820","1.092938900"
"2898","20","-1.417290449","14.722837450","0.120111130"
"2900","46","9.400288582","11.431685450","-7.638645172"
"2902","26","8.788265228","11.292972560","-8.579993248"
"2904","36","-10.997649190","-18.450468060","-23.252941130"
"2906","20","-1.682192802","13.757527350","0.409560233"
"2908","72","-14.781696320","24.340595250","1.049770832"
"2910","5","-18.290166850","-17.629919050","17.908834460"
"2912","24","24.842586520","-22.849674220","-14.360786440"
"2914","52","15.230741500","-0.518220603","19.321550370"
"2916","52","16.093957900","-0.707960069","20.831365590"
"2917","64","-29.881504060","13.859267230","-2.785994530"
"2919","21","-13.809462550","22.357780460","-22.093042370"
"2921","37","-24.807779310","-15.593475340","20.646432880"
"2923","14","33.870929720","19.906610490","-3.757894516"
"2925","71","11.660027500","-30.057977680","-12.839737890"
"2927","46","-7.257258892","27.669155120","-13.407816890"
"2929","37","11.208984380","10.452618600","48.754611970"
"2931","46","4.495325089","10.934554100","-29.016756060"
"3145","67","-10.020598410","5.140778542","-8.405879974"
"3147","29","-2.310186386","-13.699013710","-17.552867890"
"3149","16","-15.793977740","35.404014590","-3.592824697"
"3151","37","-23.075944900","-23.889329910","11.866424560"
"3153","53","-29.854209900","-18.029273990","22.663440700"
"3155","53","-30.716857910","-17.270925520","23.345424650"
"3157","36","54.442413330","-2.310061693","1.462318540"
"3159","69","-6.439772606","-50.354400630","8.369199753"
"3161","15","-20.809822080","11.114999770","24.819587710"
"3163","18","-13.715472220","47.912990570","-9.800304413"
"3165","45","5.714511395","-14.370874400","-39.056072240"
"3167","48","11.118516920","-35.106445310","21.312957760"
"3169","57","-21.023942950","-23.443616870","-12.886959080"
"3171","57","-21.071317670","-23.804801940","-13.741276740"
"3173","31","-17.374435420","-17.702819820","3.672021866"
"3175","31","-17.038496020","-17.325620650","4.632695198"
"3177","67","-9.595921516","-1.403574467","-6.823517323"
"3179","69","-5.719810009","-51.314678190","8.701550484"
"3181","69","-6.905708790","-51.354339600","8.112349510"
"3183","10","19.886196140","32.290794370","4.633842945"
"3185","48","11.333218570","-31.269382480","17.400533680"
"3187","36","49.661876680","-6.574603558","10.292661670"
"3189","24","-39.908283230","9.824139595","-12.560112000"
"3191","36","-46.542655940","20.453912730","10.674227710"
"3193","48","10.019533160","-30.444063190","19.688640590"
"3195","48","4.667458057","-34.195106510","24.816352840"
"3197","36","49.605705260","-5.089114666","11.069375040"
